id,pattern,atoms,num_rows_dict,domain_size_dict,dist_type_dict,output_dir,seed
Uniform0,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10, 'S': 10, 'T': 10, 'U': 10}","{'a': 10, 'b': 10, 'c': 10, 'd': 10, 'e': 10}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform1,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10, 'S': 10, 'T': 10, 'U': 10}","{'a': 10, 'b': 10, 'c': 10, 'd': 10, 'e': 10}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform2,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10, 'S': 10, 'T': 10, 'U': 10}","{'a': 10, 'b': 10, 'c': 10, 'd': 10, 'e': 10}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform3,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100, 'S': 100, 'T': 100, 'U': 100}","{'a': 100, 'b': 100, 'c': 100, 'd': 100, 'e': 100}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform4,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100, 'S': 100, 'T': 100, 'U': 100}","{'a': 100, 'b': 100, 'c': 100, 'd': 100, 'e': 100}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform5,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100, 'S': 100, 'T': 100, 'U': 100}","{'a': 100, 'b': 100, 'c': 100, 'd': 100, 'e': 100}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform6,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000, 'S': 1000, 'T': 1000, 'U': 1000}","{'a': 1000, 'b': 1000, 'c': 1000, 'd': 1000, 'e': 1000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform7,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000, 'S': 1000, 'T': 1000, 'U': 1000}","{'a': 1000, 'b': 1000, 'c': 1000, 'd': 1000, 'e': 1000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform8,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000, 'S': 1000, 'T': 1000, 'U': 1000}","{'a': 1000, 'b': 1000, 'c': 1000, 'd': 1000, 'e': 1000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform9,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 5000, 'S': 5000, 'T': 5000, 'U': 5000}","{'a': 5000, 'b': 5000, 'c': 5000, 'd': 5000, 'e': 5000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
