id,pattern,atoms,num_rows_dict,domain_size_dict,dist_type_dict,output_dir,seed
Uniform50,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10, 'S': 10, 'T': 10, 'U': 10}","{'a': 4, 'b': 4, 'c': 4, 'd': 4, 'e': 4}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform51,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10, 'S': 10, 'T': 10, 'U': 10}","{'a': 4, 'b': 4, 'c': 4, 'd': 4, 'e': 4}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform52,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10, 'S': 10, 'T': 10, 'U': 10}","{'a': 4, 'b': 4, 'c': 4, 'd': 4, 'e': 4}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform53,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100, 'S': 100, 'T': 100, 'U': 100}","{'a': 10, 'b': 10, 'c': 10, 'd': 10, 'e': 10}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform54,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100, 'S': 100, 'T': 100, 'U': 100}","{'a': 10, 'b': 10, 'c': 10, 'd': 10, 'e': 10}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform55,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100, 'S': 100, 'T': 100, 'U': 100}","{'a': 10, 'b': 10, 'c': 10, 'd': 10, 'e': 10}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform56,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000, 'S': 1000, 'T': 1000, 'U': 1000}","{'a': 32, 'b': 32, 'c': 32, 'd': 32, 'e': 32}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform57,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000, 'S': 1000, 'T': 1000, 'U': 1000}","{'a': 32, 'b': 32, 'c': 32, 'd': 32, 'e': 32}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform58,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000, 'S': 1000, 'T': 1000, 'U': 1000}","{'a': 32, 'b': 32, 'c': 32, 'd': 32, 'e': 32}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform59,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 5000, 'S': 5000, 'T': 5000, 'U': 5000}","{'a': 71, 'b': 71, 'c': 71, 'd': 71, 'e': 71}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
