a,b
a7,b8
a7,b7
a8,b9
a3,b2
a8,b7
a9,b2
a1,b7
a4,b2
a1,b8
a0,b9
a6,b7
a9,b0
a8,b1
a0,b0
a3,b3
a7,b5
a7,b9
a3,b8
a3,b4
a7,b0
a4,b6
a4,b5
a4,b0
a1,b9
a1,b6
a1,b4
a6,b1
a0,b7
a6,b6
a9,b3
a5,b0
a2,b3
a1,b0
a7,b2
a8,b3
a6,b3
a0,b4
a9,b4
a0,b3
a2,b6
a9,b9
a7,b4
a5,b4
a1,b1
a3,b9
a3,b0
a9,b5
a5,b9
a9,b7
a6,b2
a2,b4
a2,b8
a3,b6
a0,b1
a8,b4
a4,b8
a2,b1
a7,b3
a5,b8
a1,b5
a2,b7
a9,b1
a7,b1
a8,b5
a0,b2
a5,b5
a9,b6
a6,b9
a5,b6
a8,b8
a3,b1
a0,b5
a8,b2
a5,b7
a4,b3
a5,b3
a2,b2
a6,b8
a5,b1
a4,b9
a1,b3
a3,b7
a8,b0
a0,b6
a8,b6
a4,b7
a6,b0
a1,b2
a7,b6
a6,b4
a3,b5
a2,b5
a0,b8
a9,b8
a4,b1
a4,b4
a6,b5
a2,b9
a5,b2
a2,b0
