c,d
c7,d9
c2,d4
c4,d6
c6,d2
c0,d2
c1,d0
c3,d4
c5,d8
c1,d6
c5,d0
c8,d7
c2,d5
c1,d4
c7,d4
c3,d6
c9,d6
c2,d9
c6,d3
c8,d4
c2,d7
c2,d1
c7,d6
c1,d2
c4,d9
c9,d2
c4,d5
c3,d1
c7,d3
c4,d8
c4,d1
c5,d7
c2,d3
c6,d7
c0,d6
c6,d8
c0,d3
c8,d9
c9,d4
c4,d3
c8,d1
c1,d8
c7,d0
c3,d7
c6,d4
c9,d0
c0,d9
c5,d6
c7,d5
c4,d4
c1,d5
c9,d1
c3,d2
c3,d0
c2,d8
c5,d2
c6,d0
c8,d0
c6,d1
c1,d9
c3,d9
c9,d5
c1,d1
c9,d8
c5,d4
c8,d6
c7,d1
c0,d5
c3,d8
c1,d7
c0,d8
c9,d7
c1,d3
c8,d5
c6,d6
c9,d3
c2,d2
c9,d9
c5,d9
c7,d2
c6,d5
c5,d1
c0,d1
c4,d7
c8,d8
c3,d3
c2,d6
c8,d2
c3,d5
c6,d9
c4,d0
c0,d4
c2,d0
c5,d5
c5,d3
c7,d7
c0,d7
c4,d2
c0,d0
c7,d8
c8,d3
