b,c
b84,c40
b86,c68
b36,c6
b10,c65
b97,c29
b18,c82
b67,c60
b3,c78
b52,c72
b81,c40
b43,c89
b40,c60
b10,c85
b58,c40
b46,c87
b7,c97
b66,c36
b46,c48
b44,c70
b66,c32
b32,c1
b2,c98
b70,c36
b59,c32
b68,c17
b92,c54
b96,c29
b31,c37
b46,c98
b91,c3
b2,c9
b25,c60
b88,c66
b37,c23
b94,c89
b22,c38
b84,c76
b87,c14
b47,c42
b5,c91
b28,c28
b57,c30
b29,c71
b93,c94
b23,c96
b40,c33
b36,c70
b59,c94
b57,c67
b82,c93
b87,c24
b75,c29
b58,c71
b5,c25
b25,c5
b80,c11
b84,c85
b89,c20
b12,c95
b15,c19
b44,c85
b71,c78
b45,c47
b64,c5
b55,c37
b13,c91
b45,c84
b67,c46
b99,c69
b59,c35
b7,c38
b88,c96
b59,c20
b31,c87
b27,c50
b82,c8
b27,c90
b44,c8
b7,c89
b32,c20
b6,c33
b36,c25
b83,c87
b76,c38
b93,c71
b6,c66
b50,c8
b88,c61
b70,c88
b1,c69
b51,c96
b59,c72
b3,c47
b16,c75
b31,c71
b26,c48
b55,c81
b35,c68
b64,c99
b99,c65
b68,c41
b31,c40
b69,c96
b28,c88
b50,c54
b36,c86
b27,c83
b0,c56
b97,c10
b91,c14
b34,c35
b39,c15
b36,c20
b88,c21
b52,c35
b95,c81
b53,c82
b71,c84
b56,c12
b51,c74
b62,c28
b30,c36
b84,c78
b89,c52
b46,c28
b63,c64
b48,c21
b14,c25
b12,c52
b7,c73
b91,c0
b94,c44
b62,c69
b73,c96
b98,c57
b96,c37
b46,c72
b84,c12
b10,c79
b17,c57
b8,c7
b10,c71
b77,c91
b10,c97
b67,c62
b31,c44
b83,c96
b90,c64
b89,c29
b88,c41
b17,c28
b41,c23
b46,c97
b77,c68
b22,c26
b99,c74
b84,c88
b21,c30
b26,c70
b57,c76
b21,c10
b11,c46
b39,c37
b47,c35
b19,c77
b73,c12
b73,c61
b27,c96
b75,c54
b56,c75
b35,c24
b77,c60
b20,c57
b35,c73
b1,c15
b75,c45
b91,c70
b7,c86
b43,c32
b95,c85
b50,c69
b28,c24
b1,c47
b61,c93
b88,c51
b32,c67
b59,c40
b84,c51
b70,c58
b97,c59
b24,c51
b67,c42
b84,c89
b23,c38
b21,c71
b44,c11
b15,c70
b18,c60
b78,c99
b46,c65
b24,c26
b27,c84
b62,c40
b37,c43
b27,c88
b91,c68
b66,c40
b67,c10
b10,c90
b13,c90
b52,c3
b65,c88
b24,c43
b97,c67
b91,c84
b11,c43
b4,c88
b20,c11
b92,c76
b89,c34
b68,c99
b59,c64
b15,c2
b10,c26
b34,c2
b76,c21
b4,c64
b95,c4
b32,c13
b17,c36
b9,c74
b5,c28
b8,c76
b73,c27
b93,c68
b9,c14
b59,c52
b12,c9
b39,c55
b18,c36
b16,c33
b87,c96
b36,c32
b12,c58
b87,c42
b14,c56
b4,c6
b40,c83
b59,c80
b68,c45
b91,c42
b54,c23
b91,c5
b73,c99
b76,c3
b1,c43
b86,c64
b42,c65
b69,c67
b83,c3
b71,c31
b59,c17
b56,c13
b1,c97
b48,c82
b36,c17
b90,c71
b88,c57
b38,c93
b88,c26
b89,c75
b39,c63
b59,c61
b76,c45
b88,c38
b49,c29
b92,c98
b59,c86
b24,c39
b83,c32
b40,c95
b93,c35
b59,c13
b83,c64
b61,c84
b9,c86
b26,c57
b88,c45
b40,c24
b39,c32
b2,c76
b91,c43
b86,c11
b72,c7
b24,c6
b40,c67
b76,c27
b40,c65
b57,c90
b94,c30
b83,c88
b86,c16
b17,c45
b28,c68
b27,c3
b10,c25
b65,c24
b45,c95
b68,c76
b96,c72
b49,c83
b68,c0
b19,c7
b82,c10
b65,c30
b47,c49
b27,c38
b71,c4
b48,c65
b23,c47
b89,c22
b18,c5
b56,c94
b54,c16
b84,c41
b86,c48
b98,c43
b98,c3
b28,c67
b79,c53
b22,c13
b62,c62
b42,c50
b74,c17
b60,c51
b62,c68
b78,c55
b82,c9
b26,c76
b11,c61
b40,c52
b81,c22
b85,c54
b27,c40
b43,c31
b43,c22
b60,c71
b78,c70
b42,c1
b41,c60
b81,c30
b67,c80
b40,c41
b87,c11
b48,c54
b14,c76
b79,c71
b84,c75
b76,c20
b46,c57
b76,c17
b95,c67
b59,c95
b1,c34
b70,c45
b58,c70
b26,c24
b12,c21
b74,c98
b20,c64
b4,c94
b14,c26
b68,c56
b89,c77
b58,c28
b55,c45
b0,c64
b98,c76
b88,c98
b12,c32
b39,c36
b99,c96
b87,c93
b41,c89
b18,c85
b44,c92
b94,c21
b33,c10
b74,c53
b30,c5
b54,c30
b0,c99
b19,c63
b43,c3
b50,c6
b68,c5
b42,c24
b43,c43
b69,c50
b75,c57
b60,c44
b37,c33
b25,c62
b37,c39
b22,c82
b78,c68
b58,c36
b95,c40
b47,c87
b46,c68
b13,c29
b81,c33
b26,c42
b99,c56
b49,c95
b63,c52
b89,c40
b37,c37
b10,c35
b97,c26
b71,c97
b44,c16
b77,c81
b80,c52
b6,c11
b67,c34
b88,c23
b40,c53
b94,c16
b31,c58
b19,c92
b67,c75
b24,c85
b41,c52
b79,c22
b7,c63
b14,c77
b53,c86
b97,c27
b28,c26
b81,c4
b90,c48
b62,c0
b19,c36
b89,c68
b57,c41
b53,c12
b27,c93
b72,c30
b69,c15
b44,c23
b76,c9
b59,c36
b5,c88
b91,c58
b52,c99
b25,c10
b37,c56
b75,c47
b55,c27
b73,c6
b83,c85
b23,c24
b91,c32
b34,c72
b33,c6
b83,c60
b68,c89
b59,c98
b65,c79
b99,c85
b76,c51
b69,c53
b99,c59
b0,c83
b81,c78
b96,c2
b36,c41
b2,c35
b6,c35
b66,c89
b15,c98
b97,c31
b44,c47
b54,c68
b40,c69
b92,c38
b74,c5
b90,c9
b54,c20
b46,c99
b53,c84
b38,c48
b97,c33
b80,c64
b36,c95
b73,c93
b60,c82
b68,c49
b34,c7
b1,c10
b57,c14
b80,c66
b26,c32
b92,c11
b54,c22
b28,c81
b17,c74
b77,c52
b61,c23
b67,c64
b5,c37
b52,c64
b53,c52
b49,c58
b30,c60
b20,c96
b90,c96
b32,c23
b11,c53
b74,c7
b94,c98
b31,c63
b92,c35
b80,c51
b18,c98
b95,c7
b41,c78
b88,c5
b80,c14
b0,c75
b15,c31
b21,c95
b39,c97
b7,c37
b70,c3
b0,c65
b39,c81
b55,c77
b37,c64
b3,c15
b10,c60
b4,c83
b11,c42
b11,c78
b63,c91
b48,c29
b42,c96
b2,c64
b42,c75
b81,c25
b3,c53
b55,c83
b36,c31
b9,c70
b93,c17
b83,c15
b74,c78
b51,c64
b29,c69
b76,c79
b73,c92
b55,c76
b20,c86
b26,c47
b94,c41
b68,c59
b18,c97
b20,c44
b39,c66
b89,c25
b97,c73
b52,c98
b72,c19
b42,c98
b46,c4
b3,c82
b20,c87
b40,c18
b15,c43
b66,c96
b32,c34
b6,c27
b43,c84
b37,c30
b63,c59
b82,c20
b90,c47
b98,c71
b38,c63
b54,c97
b74,c15
b68,c20
b60,c94
b43,c33
b48,c62
b62,c8
b29,c20
b16,c51
b54,c95
b97,c65
b56,c35
b75,c84
b18,c3
b30,c57
b83,c40
b78,c89
b19,c46
b41,c86
b53,c45
b9,c13
b28,c2
b90,c35
b78,c9
b85,c16
b86,c77
b6,c36
b56,c78
b36,c91
b33,c42
b39,c65
b59,c21
b92,c84
b20,c13
b44,c80
b92,c36
b46,c89
b16,c84
b54,c79
b9,c19
b84,c8
b52,c83
b62,c63
b71,c5
b50,c22
b87,c85
b27,c26
b27,c61
b85,c38
b76,c54
b50,c61
b53,c58
b1,c20
b92,c40
b13,c56
b44,c86
b66,c53
b75,c87
b96,c25
b56,c61
b13,c70
b54,c11
b12,c22
b80,c63
b20,c54
b21,c56
b42,c32
b98,c56
b7,c96
b36,c60
b74,c52
b12,c68
b37,c31
b87,c64
b68,c77
b63,c85
b58,c94
b1,c76
b70,c41
b8,c46
b55,c57
b20,c32
b48,c12
b54,c98
b96,c73
b79,c43
b10,c96
b77,c56
b2,c27
b60,c97
b76,c58
b35,c92
b26,c5
b72,c91
b48,c17
b43,c0
b14,c19
b86,c99
b79,c96
b76,c5
b79,c95
b76,c98
b2,c77
b96,c78
b50,c80
b71,c48
b26,c27
b58,c59
b56,c23
b65,c56
b92,c70
b96,c91
b32,c49
b80,c76
b85,c86
b51,c3
b53,c97
b66,c19
b25,c78
b78,c13
b18,c87
b17,c94
b79,c87
b89,c56
b41,c49
b44,c38
b70,c16
b91,c12
b1,c96
b6,c57
b76,c41
b77,c83
b80,c93
b85,c37
b61,c68
b21,c88
b39,c0
b37,c63
b14,c92
b76,c33
b17,c97
b21,c49
b97,c66
b20,c37
b67,c25
b90,c89
b73,c75
b25,c24
b32,c70
b98,c20
b91,c6
b78,c63
b42,c54
b20,c68
b39,c71
b49,c40
b84,c32
b22,c96
b35,c61
b38,c3
b55,c30
b41,c31
b44,c12
b2,c54
b17,c8
b33,c19
b92,c94
b42,c41
b5,c55
b92,c90
b69,c99
b47,c62
b29,c15
b94,c26
b36,c61
b88,c27
b93,c99
b82,c64
b65,c22
b63,c40
b96,c88
b42,c85
b40,c13
b73,c9
b51,c90
b8,c80
b87,c54
b81,c66
b28,c1
b72,c6
b82,c50
b49,c87
b9,c44
b76,c50
b71,c23
b3,c99
b5,c61
b55,c61
b11,c5
b56,c24
b72,c92
b6,c83
b39,c58
b72,c88
b53,c19
b57,c99
b19,c80
b64,c19
b28,c83
b33,c97
b55,c66
b11,c94
b89,c62
b94,c66
b26,c19
b6,c82
b50,c55
b12,c99
b81,c57
b6,c1
b25,c8
b65,c4
b8,c1
b74,c67
b11,c24
b99,c57
b45,c17
b19,c79
b27,c10
b59,c25
b59,c1
b44,c90
b74,c45
b27,c22
b85,c72
b29,c83
b34,c69
b43,c81
b33,c45
b37,c54
b59,c28
b58,c31
b28,c50
b23,c64
b6,c49
b54,c26
b42,c77
b21,c40
b29,c22
b53,c37
b28,c97
b37,c84
b67,c24
b58,c73
b91,c87
b37,c95
b52,c7
b91,c13
b67,c83
b79,c0
b39,c20
b98,c6
b10,c63
b26,c68
b71,c26
b81,c74
b20,c43
b92,c49
b60,c75
b8,c50
b31,c82
b72,c83
b6,c64
b57,c33
b81,c90
b88,c30
b57,c58
b68,c50
b41,c82
b66,c87
b13,c30
b17,c47
b45,c42
b17,c98
b81,c67
b14,c86
b88,c85
b15,c30
b11,c6
b22,c19
b55,c18
b96,c17
b26,c95
b12,c86
b91,c57
b77,c87
b68,c85
b61,c87
b13,c34
b28,c51
b41,c91
b17,c73
b29,c84
b30,c63
b18,c23
b23,c85
b12,c81
b75,c90
b53,c87
b80,c19
b78,c81
b20,c15
b57,c91
b67,c31
b86,c31
b28,c95
b36,c87
b5,c65
b25,c12
b27,c58
b94,c34
b43,c55
b93,c84
b71,c54
b43,c37
b36,c21
b55,c52
b89,c21
b68,c16
b62,c32
b96,c47
b15,c60
b86,c47
b91,c49
b28,c36
b65,c3
b85,c12
b1,c32
b99,c46
b42,c70
b45,c94
b87,c31
b34,c56
b94,c28
b44,c88
b94,c40
b51,c98
b35,c5
b15,c38
b23,c12
b55,c28
b99,c16
b40,c68
b17,c9
b1,c65
b95,c88
b6,c69
b26,c89
b22,c12
b33,c5
b35,c80
b71,c88
b22,c61
b29,c14
b99,c38
b98,c77
b81,c38
b84,c27
b26,c92
b12,c30
b6,c84
b48,c90
b66,c43
b77,c54
b71,c46
b14,c47
b14,c83
b79,c50
b51,c13
b8,c40
b63,c8
b71,c28
b3,c31
b62,c70
b38,c78
b52,c13
b41,c69
b41,c65
b18,c99
b52,c97
b77,c96
b64,c14
b21,c74
b21,c13
b60,c10
b0,c73
b56,c95
b1,c55
b43,c12
b5,c67
b50,c99
b85,c89
b51,c8
b66,c59
b61,c12
b59,c69
b57,c54
b93,c96
b43,c41
b46,c63
b28,c66
b11,c13
b12,c14
b16,c64
b1,c50
b96,c59
b42,c29
b53,c23
b42,c69
b90,c21
b98,c9
b22,c4
b97,c77
b62,c45
b32,c37
b93,c4
b65,c34
b91,c26
b49,c36
b70,c12
b99,c26
b92,c46
b84,c90
b79,c59
b99,c21
b4,c99
b38,c16
b79,c83
b14,c85
b50,c97
b70,c56
b73,c58
b25,c11
b5,c19
b66,c42
b98,c34
b49,c77
b20,c12
b90,c70
b86,c66
b75,c76
b93,c6
b47,c60
b21,c39
b36,c8
b21,c17
b78,c54
b17,c66
b5,c93
b88,c0
b71,c40
b18,c29
b94,c69
b13,c44
b86,c6
b15,c79
b85,c56
b55,c22
b73,c97
b86,c8
b46,c81
b94,c3
b41,c98
b0,c9
b76,c96
b22,c86
b10,c23
b18,c42
b42,c42
b43,c15
b39,c85
b55,c62
b26,c90
b80,c67
b41,c80
b61,c53
b45,c65
b59,c68
b26,c62
b35,c54
b47,c28
b79,c4
b96,c69
b54,c92
b9,c92
b13,c81
b98,c42
b69,c3
b20,c10
b62,c81
b84,c57
b86,c69
b97,c3
b27,c31
b81,c35
b78,c47
b99,c42
b65,c17
b87,c90
b73,c8
b64,c77
b52,c23
b22,c88
b26,c9
b75,c43
b6,c44
b69,c55
b16,c98
b61,c56
b27,c13
b87,c87
b17,c49
b37,c98
b48,c19
b23,c59
b91,c88
b81,c45
b1,c66
b88,c77
b45,c87
b7,c25
b41,c28
b7,c92
b20,c53
b53,c76
b99,c31
b81,c21
b65,c28
b40,c70
b25,c90
b5,c87
b33,c78
b31,c70
b85,c44
b13,c54
b70,c80
b87,c13
b73,c90
b67,c61
b70,c95
b91,c50
b4,c26
b98,c66
b51,c29
b10,c48
b66,c15
b91,c53
b54,c12
b36,c54
b41,c27
b0,c76
b2,c68
b63,c92
b8,c60
b91,c28
b21,c59
b55,c89
b30,c97
b4,c85
b48,c27
b88,c92
b14,c4
b78,c98
b39,c24
b87,c47
b79,c89
b17,c58
b23,c43
b63,c30
b6,c54
b43,c75
b0,c96
b90,c30
b32,c81
b4,c36
b8,c54
b0,c5
b67,c23
b32,c44
b32,c26
b41,c95
b89,c93
b39,c83
b50,c27
b70,c69
b55,c4
b96,c39
b45,c59
b95,c99
b22,c27
b27,c87
b18,c13
b39,c56
b36,c35
b66,c68
b87,c43
b67,c88
b4,c22
b29,c61
b1,c63
b66,c35
b41,c59
b26,c50
b32,c7
b32,c88
b35,c36
b86,c60
b20,c92
b97,c75
b17,c7
b69,c91
b55,c64
b53,c81
b69,c90
b78,c14
b25,c0
b14,c14
b26,c40
b77,c53
b29,c8
b57,c18
b58,c97
b22,c47
b67,c99
b11,c33
b28,c12
b64,c38
b57,c48
b50,c34
b76,c89
b12,c26
b94,c47
b31,c69
b62,c24
b14,c57
b65,c92
b82,c69
b25,c28
b18,c78
b4,c23
b42,c36
b15,c11
b23,c88
b74,c33
b50,c98
b22,c90
b44,c46
b90,c44
b37,c71
b7,c87
b22,c6
b47,c65
b60,c7
b23,c54
b56,c53
b51,c27
b95,c42
b74,c75
b35,c13
b7,c30
b14,c6
b14,c10
b53,c47
b28,c62
b97,c86
b22,c8
b57,c25
b81,c73
b38,c13
b21,c53
b44,c27
b65,c12
b21,c14
b80,c1
b60,c1
b53,c88
b24,c68
b13,c10
b75,c40
b83,c74
b36,c72
b71,c98
b2,c97
b25,c16
b84,c28
b35,c3
b49,c68
b73,c26
b56,c55
b27,c43
b66,c69
b31,c89
b30,c88
b73,c55
b56,c96
b51,c53
b97,c57
b60,c54
b96,c92
b27,c28
b57,c40
b10,c70
b52,c48
b24,c18
b17,c70
b34,c45
b35,c15
b77,c50
b48,c80
